problem_id,solved,solve_number,verified_job_id,verified_at_utc,race_elapsed_seconds,first_attempt_to_verified_seconds,first_attempt_to_final_outcome_seconds,controller_runs,controller_failed_runs,controller_rollout_sessions,controller_models,controller_statuses,controller_agent_seconds_total,controller_verification_seconds_total,controller_cost_usd,controller_input_tokens,controller_cached_input_tokens,controller_cache_write_input_tokens,controller_output_tokens,controller_reasoning_output_tokens,lean_files,solution_physical_loc,solution_code_loc,added_physical_loc,added_code_loc,declaration_count,controller_cached_input_fraction,controller_cost_per_added_code_loc,nested_subagent_sessions,problem_subtree_sessions,problem_subtree_model_calls,problem_subtree_long_context_calls,problem_subtree_input_tokens,problem_subtree_cached_input_tokens,problem_subtree_cache_write_input_tokens,problem_subtree_output_tokens,problem_subtree_reasoning_output_tokens,problem_subtree_cost_usd,nested_subagent_cost_usd,problem_subtree_cached_input_fraction,problem_subtree_cost_per_added_code_loc
pi1_circle_mulEquiv_int,True,16,pi1_circle_mulEquiv_int-001,2026-08-16T09:08:11.513Z,3506.873,2692.131,2692.131,1,0,1,gpt-5.6-sol,verified:1,2645.484,46.642,0.997556000,911002,826112,0,5335,2319,2,29,25,17,17,1,0.906817,0.05868,0,1,17,0,911002,826112,0,5335,2319,0.997556000,0.000000000,0.906817,0.05868
posSemidef_map_exp,True,6,posSemidef_map_exp-001,2026-08-16T08:17:43.273Z,478.633,478.565,478.565,1,0,1,gpt-5.6-sol,verified:1,393.948,84.611,0.861688000,838346,775936,0,5389,1882,2,42,37,27,27,1,0.925556,0.031914,0,1,17,0,838346,775936,0,5389,1882,0.861688000,0.000000000,0.925556,0.031914
radon_transform_inversion,True,34,radon_transform_inversion-001,2026-08-16T11:00:33.313Z,10248.673,894.275,894.275,1,0,1,gpt-5.6-sol,verified:1,756.953,137.316,3.636712000,4671068,4534784,0,22930,9347,2,195,175,175,160,14,0.970824,0.022729,3,4,204,0,14837486,14270464,0,79231,38757,12.347272000,8.710560000,0.961784,0.07717
regular_value_ae,True,27,regular_value_ae-001,2026-08-16T10:23:08.972Z,8004.332,1243.39,1243.39,1,0,1,gpt-5.6-sol,verified:1,1104.419,138.959,8.010813000,11783583,11559936,0,37087,18454,25,4987,4060,4972,4050,291,0.98102,0.001978,3,4,239,0,17886762,17318144,0,73808,36921,13.716402000,5.705589000,0.96821,0.003387
rising_sun_lemma,True,25,rising_sun_lemma-001,2026-08-16T10:19:57.069Z,7812.429,727.751,727.751,1,0,1,gpt-5.6-sol,verified:1,693.651,34.094,4.101689000,5601373,5443328,0,19660,11125,5,424,379,407,367,10,0.971785,0.011176,4,5,163,0,11513853,10961152,0,64390,31671,10.175781000,6.074092000,0.951997,0.027727
rokhlin_lemma,True,75,rokhlin_lemma-001,2026-08-16T19:59:36.939Z,42592.299,121.184,121.184,1,0,1,gpt-5.6-sol,verified:1,84.183,36.996,0.307127000,239671,213504,0,2318,1012,6,708,628,688,613,47,0.890821,0.000501,1,2,17,0,412890,361216,0,4810,2308,0.583278000,0.276151000,0.874848,0.000952
rouche_zero_count_eq,True,22,rouche_zero_count_eq-001,2026-08-16T09:56:23.592Z,6398.952,1418.571,1418.571,1,0,1,gpt-5.6-sol,verified:1,1311.489,107.075,8.899259000,12689659,12405248,0,42486,20754,2,408,395,389,381,4,0.977587,0.023358,3,4,270,0,35459863,34562560,0,128888,58623,25.634435000,16.735176000,0.974695,0.067282
runge_theorem,True,72,runge_theorem-001,2026-08-16T17:15:06.211Z,32721.571,549.957,549.957,1,0,1,gpt-5.6-sol,verified:1,454.243,95.707,1.170011000,1109371,1050112,0,11622,5951,15,2282,1992,2267,1982,150,0.946583,0.00059,5,6,88,0,3222303,2988032,0,36907,13051,3.772581000,2.602570000,0.927297,0.001903
sard_theorem,True,28,sard_theorem-001,2026-08-16T10:31:38.904Z,8514.264,678.755,678.755,1,0,1,gpt-5.6-sol,verified:1,547.671,131.069,2.991292000,3962480,3842304,0,15642,6983,25,5001,4074,4987,4065,291,0.969672,0.000736,3,4,162,0,8840782,8483328,0,56537,20606,7.725044000,4.733752000,0.959568,0.0019
schauder_fixed_point,True,41,schauder_fixed_point-001,2026-08-16T11:58:21.708Z,13717.068,572.78,572.78,1,0,1,gpt-5.6-sol,verified:1,531.857,40.911,1.659344000,1769986,1698048,0,15021,6551,6,4185,3766,4168,3753,155,0.959357,0.000442,3,4,130,0,7413289,7074304,0,50558,22939,6.748817000,5.089473000,0.954273,0.001798
