problem_id,solved,solve_number,verified_job_id,verified_at_utc,race_elapsed_seconds,first_attempt_to_verified_seconds,first_attempt_to_final_outcome_seconds,controller_runs,controller_failed_runs,controller_rollout_sessions,controller_models,controller_statuses,controller_agent_seconds_total,controller_verification_seconds_total,controller_cost_usd,controller_input_tokens,controller_cached_input_tokens,controller_cache_write_input_tokens,controller_output_tokens,controller_reasoning_output_tokens,lean_files,solution_physical_loc,solution_code_loc,added_physical_loc,added_code_loc,declaration_count,controller_cached_input_fraction,controller_cost_per_added_code_loc,nested_subagent_sessions,problem_subtree_sessions,problem_subtree_model_calls,problem_subtree_long_context_calls,problem_subtree_input_tokens,problem_subtree_cached_input_tokens,problem_subtree_cache_write_input_tokens,problem_subtree_output_tokens,problem_subtree_reasoning_output_tokens,problem_subtree_cost_usd,nested_subagent_cost_usd,problem_subtree_cached_input_fraction,problem_subtree_cost_per_added_code_loc
chudnovsky_formula_for_pi_inv,True,33,chudnovsky_formula_for_pi_inv-002,2026-08-16T10:59:10.053Z,10165.413,2219.539,2219.539,2,1,2,gpt-5.6-sol,verification_failed:1;verified:1,1295.867,566.87,5.305929000,7257069,7061248,0,26540,10497,32,21357,16139,21345,16132,1144,0.973017,0.000329,6,8,362,0,23911376,22900224,0,93657,40473,19.315582000,14.009653000,0.957713,0.001197
compact_group_semisimple,True,29,compact_group_semisimple-001,2026-08-16T10:37:44.197Z,8879.557,424.083,424.083,1,0,1,gpt-5.6-sol,verified:1,362.419,61.657,0.956184000,883464,812288,0,6472,1493,2,104,93,88,82,1,0.919435,0.011661,3,4,53,0,2000237,1799936,0,23834,8732,2.616493000,1.660309000,0.899861,0.031908
contractibleSpace_houseWithTwoRooms,True,73,contractibleSpace_houseWithTwoRooms-001,2026-08-16T18:42:37.500Z,37972.86,3731.079,3731.079,1,0,1,gpt-5.6-sol,verified:1,3600.046,96.06,16.912728000,23781078,23294976,0,94491,45675,12,3922,3271,3908,3262,467,0.979559,0.005185,10,11,751,0,69548376,67661056,0,469055,210539,57.338778000,40.426050000,0.972863,0.017578
cubic_decay_asymptotic,True,2,cubic_decay_asymptotic-001,2026-08-16T08:12:26.964Z,162.324,162.268,162.268,1,0,1,gpt-5.6-sol,verified:1,96.13,66.132,0.282902000,106222,81664,0,3976,694,2,134,117,118,106,1,0.768805,0.002669,0,1,5,0,106222,81664,0,3976,694,0.282902000,0.000000000,0.768805,0.002669
cyclotomic_integer_house_le_two,True,39,cyclotomic_integer_house_le_two-001,2026-08-16T11:49:53.861Z,13209.221,2072.12,2072.12,1,0,1,gpt-5.6-sol,verified:1,1909.198,162.913,11.999893000,17358593,17001216,0,57080,22067,3,563,536,545,523,15,0.979412,0.022944,3,4,344,0,36014734,35134464,0,144507,51361,26.303792000,14.303899000,0.975558,0.050294
dehn_sommerville,False,0,,,0.0,0.0,3600.234,1,1,1,gpt-5.6-sol,incomplete:1,3600.233,0.0,22.015881000,31800693,31153152,0,106720,61324,0,0,0,0,0,0,0.979638,0,7,8,1101,0,127858567,125169408,0,471770,213381,90.183599000,68.167718000,0.978968,0
dirichlet_eigenvalues_eq_nat_sq,True,35,dirichlet_eigenvalues_eq_nat_sq-001,2026-08-16T11:06:17.904Z,10593.264,638.511,638.511,1,0,1,gpt-5.6-sol,verified:1,578.059,60.446,2.402177000,2164639,2040064,0,25309,11992,2,238,228,218,213,6,0.94245,0.011278,3,4,127,0,9257972,8798464,0,73581,30288,8.904202000,6.502025000,0.950366,0.041804
euler_lagrange_equation,True,12,euler_lagrange_equation-001,2026-08-16T08:45:51.503Z,2166.863,1352.121,1352.121,1,0,1,gpt-5.6-sol,verified:1,1228.532,123.582,4.488508000,5534348,5342976,0,28672,12838,2,194,189,174,174,1,0.965421,0.025796,3,4,224,0,17652708,17053696,0,106055,42426,14.703558000,10.215050000,0.966067,0.084503
exists_complementary_polynomial_on_unit_circle,True,23,exists_complementary_polynomial_on_unit_circle-001,2026-08-16T10:04:09.760Z,6865.12,2447.583,2447.583,1,0,1,gpt-5.6-sol,verified:1,2336.832,110.742,13.439828000,19072996,18706176,0,75088,34455,3,1092,1001,1076,990,65,0.980768,0.013576,4,5,544,0,57087168,55775232,0,224587,97632,41.184906000,27.745078000,0.977019,0.041601
fang_xia_tiling_partition_transitive,True,74,fang_xia_tiling_partition_transitive-001,2026-08-16T19:57:18.961Z,42454.321,2066.695,2066.695,1,0,1,gpt-5.6-sol,verified:1,2036.945,29.741,11.170508000,16430860,16182016,0,61176,29156,9,1945,1642,1932,1633,137,0.984855,0.00684,3,4,306,0,31481150,30766592,0,138078,74390,23.098426000,11.927918000,0.977302,0.014145
finite_graph_ramsey_theorem,True,8,finite_graph_ramsey_theorem-001,2026-08-16T08:22:31.683Z,767.043,766.986,766.986,1,0,1,gpt-5.6-sol,verified:1,744.028,22.952,1.451576000,1449862,1372672,0,12643,6125,2,78,71,64,62,3,0.94676,0.023413,0,1,30,0,1449862,1372672,0,12643,6125,1.451576000,0.000000000,0.94676,0.023413
